instance,algo,seed,phi,nv,dist,fuel,emis,IF,plow,pmed,phigh,lam,runtime,iters,budget,error
C103,RGLS,1,"(0.85, 1.0, 1.18)",10,1531.8786022295683,477.24015062270024,1240.8243916190206,0.31153914541798705,45.21778182178744,48.83667458140346,5.945543596809082,0.43228711109173373,3.0705745220184326,25,3.0,
C103,IGLS,3,"(0.85, 1.0, 1.18)",10,1282.6855889885571,358.4495632351556,931.9688644114046,0.27945239761975166,86.97206509960236,13.027934900397636,0.0,0.4034106552071731,8.148388624191284,75,8.0,
C103,GLS,1,"(0.85, 1.0, 1.18)",10,1044.7253319978383,301.84793512760575,784.804631331775,0.288925639957805,92.49969385478437,7.500306145215626,0.0,0.4495484702361047,20.282287120819092,185,20.0,
C103,GLS,3,"(0.85, 1.0, 1.18)",10,1057.0403393300503,299.35982153805907,778.3355359989536,0.28320567380407885,83.27023985651176,16.72976014348826,0.0,0.4148569400406921,20.285095691680908,172,20.0,
C103,GLS,2,"(0.85, 1.0, 1.18)",10,920.6244358843676,259.0508831485725,673.5322961862885,0.28138606042943426,94.78816439201886,5.21183560798114,0.0,0.4254346376571065,20.324281692504883,225,20.0,
C103,RGLS,1,"(0.85, 1.0, 1.18)",10,1399.3572410442039,410.75713547144096,1067.9685522257466,0.2935327187537422,75.95579279858511,20.55091172957488,3.493295471839989,0.4237240858598665,8.229143381118774,72,8.0,
C103,IGLS,1,"(0.85, 1.0, 1.18)",10,993.4580932041155,280.4491042458315,729.167671039162,0.28229585743402924,94.30310470615548,5.696895293844491,0.0,0.42935111050556723,20.065507173538208,210,20.0,
C103,RGLS,2,"(0.85, 1.0, 1.18)",10,1490.9933257641098,436.5926392299045,1135.1408619977517,0.29281998228003997,71.27632080277485,26.159728895331234,2.5639503018939673,0.41617200185679504,3.1456298828125,42,3.0,
C103,RGLS,3,"(0.85, 1.0, 1.18)",10,1450.5234181708122,412.78920382142365,1073.2519299357016,0.2845794825856538,70.00206548487189,27.023883308519725,2.9740512066083666,0.3862781209397548,3.1307873725891113,32,3.0,
C103,IGLS,2,"(0.85, 1.0, 1.18)",10,1105.5171405057827,318.0560792757114,826.9458061168497,0.28769891268279957,87.34295723312331,8.585557242665777,4.071485524210909,0.4290619045178899,20.528671503067017,198,20.0,
C103,IGLS,3,"(0.85, 1.0, 1.18)",10,1205.3395292573546,339.2023062547856,881.9259962624426,0.28141639597912976,82.9061290813339,17.09387091866609,0.0,0.40115657934201837,20.083526134490967,164,20.0,
C103,RGLS,2,"(0.85, 1.0, 1.18)",10,1232.4742025988608,357.4520827446811,929.3754151361709,0.29002804439309043,78.24041458008556,17.327362739731498,4.432222680182948,0.42075513032562717,8.328205585479736,109,8.0,
C103,HGLS,1,"(0.85, 1.0, 1.18)",10,1520.569885674339,439.4581430233763,1142.5911718607783,0.2890088427790258,71.06227275974892,28.937727240251064,0.0,0.41057841893604946,3.0945022106170654,29,3.0,
C103,RGLS,3,"(0.85, 1.0, 1.18)",10,1283.7644045000281,359.717833188074,935.2663662889925,0.2802054893617095,79.17367100282306,20.826328997176958,0.0,0.39241160963725197,8.144086599349976,83,8.0,
C103,RGLS,1,"(0.85, 1.0, 1.18)",10,1000.5122387127547,278.57723016839435,724.3007984378254,0.27843460518464824,80.33033189764579,19.66966810235422,0.0,0.38722251319133894,20.12344980239868,167,20.0,
C103,HGLS,1,"(0.85, 1.0, 1.18)",10,1418.7611782273334,397.9089614568319,1034.5632997877628,0.2804622564835034,86.6959909587508,13.30400904124924,0.0,0.408208235825053,8.291177034378052,83,8.0,
C103,RGLS,2,"(0.85, 1.0, 1.18)",10,890.3098017857324,254.6219936930757,662.0171836019969,0.2859925760475393,89.92551440117789,10.074485598822086,0.0,0.43149471469103784,20.224870204925537,195,20.0,
C103,HGLS,2,"(0.85, 1.0, 1.18)",11,1693.7224832311053,468.61190780804696,1218.3909603009222,0.27667573197356304,80.87812618137797,17.067423244821157,2.054450573800903,0.3776177776418549,3.192502498626709,35,3.0,
