instance,algo,seed,phi,nv,dist,fuel,emis,IF,plow,pmed,phigh,lam,runtime,iters,error
RC105,HGLS,1,"(0.85, 1.0, 1.18)",14,1622.6174983616297,455.3901890007395,1184.0144914019227,0.28065159500655623,27.83823383066735,60.91887227743698,11.242893891895658,0.28837473160531035,30.31213665008545,246,
RC105,HGLS,2,"(0.85, 1.0, 1.18)",13,1570.7101491578317,460.90989968823425,1198.3657391894092,0.29344045426545473,27.80709709888527,58.710467356536775,13.482435544577939,0.32260898796633936,30.228244066238403,260,
RC105,HGLS,3,"(0.85, 1.0, 1.18)",13,1510.5073491901635,448.30138774408374,1165.5836081346179,0.2967886174035724,23.68170566275263,62.50548074109332,13.812813596153987,0.33176489467634523,30.185924768447876,256,
RC105,HGLS,4,"(0.85, 1.0, 1.18)",13,1633.4014093049593,494.75989121724047,1286.3757171648253,0.3029015944266691,13.242903775960377,69.91332782208823,16.843768401951323,0.3316369619810013,30.350305557250977,278,
RC105,HGLS,5,"(0.85, 1.0, 1.18)",13,1518.4229689025472,438.20266264431325,1139.3269228752144,0.2885906441213991,26.605841003832314,62.91347318601881,10.480685810148879,0.31624000376855244,30.277124643325806,256,
RC105,ALNS,1,"(0.85, 1.0, 1.18)",14,1586.432139517311,446.08975622482944,1159.8333661845566,0.28119056914754453,29.83829070997965,58.37810737802619,11.783601911994117,0.2959906297631206,30.36982297897339,130,
RC105,ALNS,2,"(0.85, 1.0, 1.18)",14,1564.2716186935613,434.1105573748307,1128.6874491745598,0.2775160989863055,38.05780410694582,51.888551612978716,10.053644280075474,0.2968858637723656,30.255474090576172,141,
RC105,ALNS,3,"(0.85, 1.0, 1.18)",13,1585.2004914913875,469.424013524903,1220.5024351647478,0.2961291117713821,18.795833865836233,65.40368410588121,15.800482028282516,0.32040703585953934,30.14631223678589,138,
RC105,ALNS,4,"(0.85, 1.0, 1.18)",13,1569.5330584189214,465.4975304150193,1210.2935790790502,0.29658345067541364,17.85656357922021,64.60421127021337,17.53922515056641,0.3156775582738055,30.26086139678955,150,
RC105,ALNS,5,"(0.85, 1.0, 1.18)",13,1914.1845643126096,605.8909729859979,1575.3165297635946,0.3165269349058697,10.89376057260569,45.4406190972664,43.66562033012791,0.3214962449687922,30.414666652679443,146,
RC106,GLS,1,"(0.85, 1.0, 1.18)",12,1409.7569431375607,426.8589255740214,1109.8332064924557,0.30278902164794624,23.368588791434515,57.841821200545155,18.78959000802034,0.33899534884413496,30.30172562599182,192,
RC106,GLS,2,"(0.85, 1.0, 1.18)",12,1437.7487980871763,427.6836881333116,1111.9775891466102,0.2974676026175885,23.708703570848783,63.97157172567853,12.319724703472655,0.3383510507726681,30.160746812820435,228,
RC106,GLS,3,"(0.85, 1.0, 1.18)",12,1421.832613591807,427.6623037581973,1111.921989771313,0.3007824547489066,27.79124561091989,58.856744179327876,13.35201020975222,0.34744930618336867,30.180765390396118,208,
RC106,GLS,4,"(0.85, 1.0, 1.18)",12,1418.0008715810366,423.2655615468274,1100.4904600217515,0.298494570793103,27.752417620076102,58.5286387816186,13.718943598305227,0.3403661086077489,30.279800415039062,227,
RC106,GLS,5,"(0.85, 1.0, 1.18)",12,1413.0278380127668,417.7228682892628,1086.0794575520833,0.29562253272853684,28.52462859490434,63.25362022998018,8.221751175115525,0.34147788869750956,30.178707361221313,208,
RC106,IGLS,1,"(0.85, 1.0, 1.18)",12,1428.1688814972258,429.535012071061,1116.7910313847585,0.3007592572810832,24.61832750259623,58.19533740236036,17.186335095043454,0.33631253881026985,30.24126672744751,234,
RC106,IGLS,2,"(0.85, 1.0, 1.18)",12,1429.6991466727193,435.16436309113885,1131.4273440369611,0.3043747798995888,22.438885769151977,61.6372210445963,15.92389318625171,0.34782509206171847,30.25879192352295,270,
RC106,IGLS,3,"(0.85, 1.0, 1.18)",12,1430.2957912730747,434.49812482896937,1129.6951245553205,0.30378200612772005,14.495611554409015,75.84803587418061,9.656352571410377,0.34747701551185844,30.261077642440796,263,
RC106,IGLS,4,"(0.85, 1.0, 1.18)",12,1422.0814329133968,423.33945679881856,1100.6825876769283,0.2976900246363033,25.867196030549277,59.37304182038004,14.759762149070635,0.33778943780907844,30.29814600944519,301,
RC106,IGLS,5,"(0.85, 1.0, 1.18)",12,1397.7804723580723,406.2345652010066,1056.2098695226173,0.29062830196481715,28.14278390677866,68.61170750073074,3.245508592490571,0.33515940506555764,30.18660306930542,262,
RC106,RGLS,1,"(0.85, 1.0, 1.18)",12,1450.3504973882773,436.80296482920284,1135.6877085559274,0.3011706243530629,19.091627614995126,65.98462932784753,14.92374305715733,0.3326893040172827,30.37514567375183,184,
RC106,RGLS,2,"(0.85, 1.0, 1.18)",12,1471.130871470147,446.4077025381164,1160.6600265991026,0.30344526866736693,20.377621424131313,64.66698709234747,14.955391483521192,0.3461833586567671,30.31808614730835,256,
RC106,RGLS,3,"(0.85, 1.0, 1.18)",12,1454.7544502652333,439.1783060628332,1141.8635957633664,0.3018917082417321,26.253956726677433,56.73674980228332,17.009293471039253,0.3432591174020952,30.32726740837097,192,
RC106,RGLS,4,"(0.85, 1.0, 1.18)",12,1394.2468828538974,411.74259029646197,1070.5307347708012,0.2953154103193418,26.0825687925995,60.55740145536913,13.360029752031407,0.32955130736955235,30.43306851387024,222,
RC106,RGLS,5,"(0.85, 1.0, 1.18)",12,1431.972431562623,424.6286930532226,1104.0346019383787,0.29653412572325266,26.729650178241094,64.51437651099126,8.75597331076764,0.3438016720433424,30.26567792892456,217,
RC106,HGLS,1,"(0.85, 1.0, 1.18)",12,1435.0260778667805,425.76368925191684,1106.9855920549837,0.2966940432781754,29.078229490739137,58.654648686668175,12.267121822592664,0.3402240215969123,30.4166841506958,207,
RC106,HGLS,2,"(0.85, 1.0, 1.18)",13,1440.4337676698083,400.34460050173584,1040.8959613045133,0.277933362496336,43.67296481825506,48.56732075717572,7.759714424569181,0.30994408359739317,30.2380588054657,278,
RC106,HGLS,3,"(0.85, 1.0, 1.18)",12,1474.3323465351318,442.7770693814181,1151.220380391687,0.3003237841332047,21.382244277618565,67.86323035111067,10.754525371270734,0.3442493424082713,30.203866004943848,189,
RC106,HGLS,4,"(0.85, 1.0, 1.18)",12,1418.4844700889091,420.0238169270266,1092.0619240102692,0.29610744832525376,23.565552387563272,67.9587808616479,8.475666750788825,0.3381972276095504,30.184864044189453,279,
RC106,HGLS,5,"(0.85, 1.0, 1.18)",12,1405.9392131558204,420.9024675725731,1094.34641568869,0.2993745843590212,23.72210220211356,66.46948996358822,9.808407834298226,0.3437255624952677,30.285797834396362,242,
RC106,ALNS,1,"(0.85, 1.0, 1.18)",12,1684.9133583705777,546.9343957023009,1422.0294288259824,0.32460683689470093,7.038904716604674,48.69533714884345,44.26575813455183,0.3441756163507757,30.309785842895508,140,
