instance,algo,seed,phi,nv,dist,fuel,emis,IF,plow,pmed,phigh,lam,runtime,iters,error
C108,HGLS,1,"(1.0, 1.0, 1.0)",10,964.7002434278406,319.08764766253125,829.6278839225813,0.3307635193795812,72.83774743616878,5.54376308237054,21.618489481460664,0.43587839793193717,30.161123752593994,215,
C108,HGLS,1,"(0.75, 1.0, 1.3)",10,976.441595715171,250.5345371490635,651.3897965875651,0.2565791320735016,88.01484043654109,11.98515956345891,0.0,0.4233015812902208,30.069011211395264,260,
C108,HGLS,2,"(1.0, 1.0, 1.0)",10,863.6971753299625,283.2193289007501,736.3702551419503,0.32791508064449837,87.49512107491174,4.4713607688412464,8.033518156247018,0.42638360214832766,30.07151985168457,226,
C108,HGLS,2,"(0.93, 1.0, 1.09)",10,833.2427178513223,255.90299076325508,665.3477759844632,0.3071169843801942,92.22225731967993,7.777742680320056,0.0,0.42800159393221493,30.279614686965942,194,
C108,HGLS,1,"(0.85, 1.0, 1.18)",10,864.4727674080909,245.05795450468705,637.1506817121864,0.2834767776889411,90.99943023881853,9.000569761181454,0.0,0.42871691139508217,30.65076446533203,232,
C108,HGLS,3,"(1.0, 1.0, 1.0)",10,1205.1952966791744,402.9946401434015,1047.786064372844,0.33438119220496726,35.00619041808546,13.196230543268355,51.7975790386462,0.4479373073498904,30.129612684249878,180,
C108,HGLS,3,"(0.93, 1.0, 1.09)",10,976.3180541547231,302.3491490030479,786.1077874079245,0.3096830461307159,87.07254002497189,12.9274599750281,0.0,0.43080797504608903,30.09576940536499,197,
C108,HGLS,2,"(0.75, 1.0, 1.3)",10,946.4636183133018,237.94364162435744,618.6534682233294,0.2514028400250589,92.66778037744122,7.332219622558765,0.0,0.4306737215642461,30.20434284210205,257,
C108,HGLS,3,"(0.85, 1.0, 1.18)",10,828.9368669428338,233.96660815874782,608.3131812127443,0.282249007721939,92.18185641374659,7.818143586253409,0.0,0.425793920105582,30.080655097961426,214,
C108,HGLS,3,"(0.75, 1.0, 1.3)",10,889.8416594488874,225.05414513116696,585.1407773410341,0.25291482225113116,90.93963372962793,9.06036627037207,0.0,0.42509052275359016,30.09766960144043,212,
C203,GLS,1,"(0.85, 1.0, 1.18)",3,1197.2615866255107,376.41513144435686,978.6793417553279,0.3143967330525364,6.121779569330613,67.35523071771453,26.522989712954836,0.3450305136416156,30.14718508720398,14,
C108,HGLS,2,"(0.85, 1.0, 1.18)",10,828.9368669428341,233.96660815874782,608.3131812127443,0.2822490077219389,92.18185641374659,7.818143586253409,0.0,0.4257939201055819,30.620201349258423,292,
